Year,Award Type,Genre,Journal Name,Medium
2009,Best of the Net Anthology,Poetry,Pirene's Fountain Poetry Journal,Online
2009,Best of the Net Anthology,Poetry,Slant,Online
2009,Best of the Net Anthology,Poetry,Poemeleon,Online
2009,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2009,Best of the Net Anthology,Poetry,Diode Poetry Journal,Online
2009,Best of the Net Anthology,Poetry,Narrative Magazine,Online
2009,Best of the Net Anthology,Poetry,Blackbird,Online
2009,Best of the Net Anthology,Poetry,Poemeleon,Online
2009,Best of the Net Anthology,Poetry,Memorious,Online
2009,Best of the Net Anthology,Poetry,The Scrambler ,Online
2009,Best of the Net Anthology,Poetry,Blackbird,Online
2009,Best of the Net Anthology,Poetry,Apple Valley Review,Online
2009,Best of the Net Anthology,Poetry,Cha: An Asian Literary Journal,Online
2009,Best of the Net Anthology,Poetry,Valparaiso Poetry Review,Online
2009,Best of the Net Anthology,Poetry,Anti-,Online
2009,Best of the Net Anthology,Poetry,The Summerset Review,Online
2009,Best of the Net Anthology,Poetry,Memorious,Online
2009,Best of the Net Anthology,Poetry,Guernica,Online
2009,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2009,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2009,Best of the Net Anthology,Fiction,InDigest Magazine,Online
2009,Best of the Net Anthology,Fiction,Eclectica,Online
2009,Best of the Net Anthology,Fiction,Blackbird,Online
2009,Best of the Net Anthology,Fiction,failbetter,Online
2009,Best of the Net Anthology,Fiction,LITnIMAGE,Online
2010,Best of the Net Anthology,Poetry,Memorious,Online
2010,Best of the Net Anthology,Poetry,Valparaiso Poetry Review,Online
2010,Best of the Net Anthology,Poetry,Gulf Stream Magazine,Online
2010,Best of the Net Anthology,Poetry,Boxcar Poetry Journal,Online
2010,Best of the Net Anthology,Poetry,Memorious,Online
2010,Best of the Net Anthology,Poetry,No Tell Motel,Online
2010,Best of the Net Anthology,Poetry,Lantern Review: A Journal of Asian American Poetry,Online
2010,Best of the Net Anthology,Poetry,diode poetry journal,Online
2010,Best of the Net Anthology,Poetry,diode poetry journal,Online
2010,Best of the Net Anthology,Poetry,Juked ,Online
2010,Best of the Net Anthology,Poetry,Juked,Online
2010,Best of the Net Anthology,Poetry,Gulf Stream Magazine,Online
2010,Best of the Net Anthology,Fiction,Guernica Magazine,Online
2010,Best of the Net Anthology,Fiction,Raleigh Review ,Online
2010,Best of the Net Anthology,Fiction,Juked,Online
2010,Best of the Net Anthology,Fiction,Joyland,Online
2010,Best of the Net Anthology,Fiction,Memorious,Online
2011,Best of the Net Anthology,Poetry,Switchback,Online
2011,Best of the Net Anthology,Poetry,Connotation Press,Online
2011,Best of the Net Anthology,Poetry,inter|rupture,Online
2011,Best of the Net Anthology,Poetry,inter|rupture,Online
2011,Best of the Net Anthology,Poetry,Red Lightbulbs,Online
2011,Best of the Net Anthology,Poetry,decomP,Online
2011,Best of the Net Anthology,Poetry,Blip Magazine,Online
2011,Best of the Net Anthology,Poetry,Sweet: A Literary Confection,Online
2011,Best of the Net Anthology,Poetry,Sixth Finch,Online
2011,Best of the Net Anthology,Poetry,In Posse Review,Online
2011,Best of the Net Anthology,Poetry,Anti-,Online
2011,Best of the Net Anthology,Poetry,Sixth Finch,Online
2011,Best of the Net Anthology,Poetry,Boxcar Poetry Journal,Online
2011,Best of the Net Anthology,Poetry,Ghost Ocean Magazine,Online
2011,Best of the Net Anthology,Poetry,Sixth Finch,Online
2011,Best of the Net Anthology,Poetry,Glass: A Journal of Poetry,Online
2011,Best of the Net Anthology,Poetry,Gemini Magazine ,Online
2011,Best of the Net Anthology,Poetry,Superstition Review,Online
2011,Best of the Net Anthology,Fiction,Apple Valley Review,Online
2011,Best of the Net Anthology,Fiction,Memorious,Online
2011,Best of the Net Anthology,Fiction,decomP,Online
2011,Best of the Net Anthology,Fiction,Blip Magazine,Online
2012,Best of the Net Anthology,Poetry,Guernica Magazine,Online
2012,Best of the Net Anthology,Poetry,Flycatcher: A Journal of Native Imagination,Online
2012,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2012,Best of the Net Anthology,Poetry,Lambda Literary Review,Online
2012,Best of the Net Anthology,Poetry,Waccamaw ,Online
2012,Best of the Net Anthology,Poetry,Blue Mesa Review Online,Online
2012,Best of the Net Anthology,Poetry,Sixth Finch,Online
2012,Best of the Net Anthology,Poetry,Sixth Finch,Online
2012,Best of the Net Anthology,Poetry,Ghost Ocean,Online
2012,Best of the Net Anthology,Poetry,Memorious,Online
2012,Best of the Net Anthology,Poetry,Juked,Online
2012,Best of the Net Anthology,Poetry,Ducts.org,Online
2012,Best of the Net Anthology,Poetry,inter|rupture,Online
2012,Best of the Net Anthology,Poetry,Umbrella,Online
2012,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2012,Best of the Net Anthology,Poetry,Pebble Lake Review,Online
2012,Best of the Net Anthology,Poetry,Transom,Online
2012,Best of the Net Anthology,Poetry,At Length,Online
2012,Best of the Net Anthology,Poetry,Guernica Magazine,Online
2012,Best of the Net Anthology,Poetry,Vinyl Poetry,Online
2012,Best of the Net Anthology,Poetry,InDigest,Online
2012,Best of the Net Anthology,Fiction,Trigger,Online
2012,Best of the Net Anthology,Fiction,Flycatcher: A Journal of Native Imagination,Online
2012,Best of the Net Anthology,Fiction,The Baltimore Review,Online
2012,Best of the Net Anthology,Fiction,Guernica Magazine,Online
2012,Best of the Net Anthology,Fiction,Wake: Great Lakes Thought & Culture,Online
2012,Best of the Net Anthology,Fiction,At Length,Online
2012,Best of the Net Anthology,Fiction,Waccamaw,Online
2013,Best of the Net Anthology,Poetry,Tongue: A Journal of Writing & Art,Online
2013,Best of the Net Anthology,Poetry,Pebble Lake Review,Online
2013,Best of the Net Anthology,Poetry,Mary: A Journal of New Writing,Online
2013,Best of the Net Anthology,Poetry,iO: A Journal of New American Poetry,Online
2013,Best of the Net Anthology,Poetry,Ninth Letter,Online
2013,Best of the Net Anthology,Poetry,The Cortland Review,Online
2013,Best of the Net Anthology,Poetry,Memorious,Online
2013,Best of the Net Anthology,Poetry,apt,Online
2013,Best of the Net Anthology,Poetry,Blackbird,Online
2013,Best of the Net Anthology,Poetry,Eleven Eleven,Online
2013,Best of the Net Anthology,Poetry,Interrupture,Online
2013,Best of the Net Anthology,Poetry,The Baltimore Review,Online
2013,Best of the Net Anthology,Poetry,Cascadia Review,Online
2013,Best of the Net Anthology,Poetry,ARDOR,Online
2013,Best of the Net Anthology,Poetry,Penduline Press,Online
2013,Best of the Net Anthology,Poetry,Vinyl Poetry,Online
2013,Best of the Net Anthology,Poetry,Guernica Magazine,Online
2013,Best of the Net Anthology,Poetry,Petri Press,Online
2013,Best of the Net Anthology,Poetry,B O D Y,Online
2013,Best of the Net Anthology,Poetry,Guernica Magazine,Online
2013,Best of the Net Anthology,Fiction,Cloud Rodeo,Online
2013,Best of the Net Anthology,Fiction,Drunk Monkeys,Online
2013,Best of the Net Anthology,Fiction,Drunken Boat,Online
2013,Best of the Net Anthology,Fiction,Split Lip Magazine,Online
2013,Best of the Net Anthology,Fiction,The Collagist,Online
2013,Best of the Net Anthology,Fiction,Wake: Great Lakes Thought & Culture,Online
2014,Best of the Net Anthology,Poetry,Blunderbuss Magazine,Online
2014,Best of the Net Anthology,Poetry,Cartridge Lit,Online
2014,Best of the Net Anthology,Poetry,Baltimore Review,Online
2014,Best of the Net Anthology,Poetry,The Boiler,Online
2014,Best of the Net Anthology,Poetry,apt,Online
2014,Best of the Net Anthology,Poetry,Beltway Poetry Quarterly,Online
2014,Best of the Net Anthology,Poetry,New Delta Review,Online
2014,Best of the Net Anthology,Poetry,Ghost Ocean,Online
2014,Best of the Net Anthology,Poetry,Devil's Lake,Online
2014,Best of the Net Anthology,Poetry,Museum of Americana,Online
2014,Best of the Net Anthology,Poetry,The Adroit Journal,Online
2014,Best of the Net Anthology,Poetry,Sundog Lit,Online
2014,Best of the Net Anthology,Poetry,Big Lucks,Online
2014,Best of the Net Anthology,Poetry,Blackbird,Online
2014,Best of the Net Anthology,Poetry,Nashville Review,Online
2014,Best of the Net Anthology,Poetry,Thrush Poetry Journal,Online
2014,Best of the Net Anthology,Poetry,decomP,Online
2014,Best of the Net Anthology,Poetry,Cortland Review,Online
2014,Best of the Net Anthology,Poetry,Tinderbox Poetry Journal,Online
2014,Best of the Net Anthology,Fiction,Quarterly West,Online
2014,Best of the Net Anthology,Fiction,American Short Fiction,Online
2014,Best of the Net Anthology,Fiction,The Masters Review,Online
2014,Best of the Net Anthology,Fiction,Ninth Letter,Online
2014,Best of the Net Anthology,Fiction,Blue Mesa Review,Online
2014,Best of the Net Anthology,Fiction,Wyvern Lit,Online
2015,Best of the Net Anthology,Poetry,Guernica Magazine,Online
2015,Best of the Net Anthology,Poetry,Terrain.org,Online
2015,Best of the Net Anthology,Poetry,Midway Journal,Online
2015,Best of the Net Anthology,Poetry,Maps For Teeth,Online
2015,Best of the Net Anthology,Poetry,PHANTOM,Online
2015,Best of the Net Anthology,Poetry,Blackbird,Online
2015,Best of the Net Anthology,Poetry,One Magazine,Online
2015,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2015,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2015,Best of the Net Anthology,Poetry,Blue Mesa Review,Online
2015,Best of the Net Anthology,Poetry,Quarry: A Social Justice Poetry Database,Online
2015,Best of the Net Anthology,Poetry,AGNI,Online
2015,Best of the Net Anthology,Poetry,Hawaii Pacific Review,Online
2015,Best of the Net Anthology,Poetry,One Throne Magazine,Online
2015,Best of the Net Anthology,Poetry,Terrain.org,Online
2015,Best of the Net Anthology,Poetry,Memorious,Online
2015,Best of the Net Anthology,Poetry,The Collagist,Online
2015,Best of the Net Anthology,Poetry,DIALOGIST,Online
2015,Best of the Net Anthology,Poetry,Voicemail Poems,Online
2015,Best of the Net Anthology,Fiction,Tupelo Quarterly,Online
2015,Best of the Net Anthology,Fiction,Burrow Press Review,Online
2015,Best of the Net Anthology,Fiction,Guernica,Online
2015,Best of the Net Anthology,Fiction,Threadcount Magazine,Online
2015,Best of the Net Anthology,Fiction,Print-Oriented Bastards,Online
2015,Best of the Net Anthology,Fiction,Cease Cows,Online
2016,Best of the Net Anthology,Poetry,Waxwing Literary Journal,Online
2016,Best of the Net Anthology,Poetry,Rattle,Online
2016,Best of the Net Anthology,Poetry,Guernica,Online
2016,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2016,Best of the Net Anthology,Poetry,Rattle,Online
2016,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2016,Best of the Net Anthology,Poetry,Jet Fuel Review,Online
2016,Best of the Net Anthology,Poetry,Sakura Review,Online
2016,Best of the Net Anthology,Poetry,Baltimore Review,Online
2016,Best of the Net Anthology,Poetry,Memorious,Online
2016,Best of the Net Anthology,Poetry,Connotation Press,Online
2016,Best of the Net Anthology,Poetry,Border Crossing,Online
2016,Best of the Net Anthology,Poetry,Vinyl,Online
2016,Best of the Net Anthology,Poetry,Blueshift Journal,Online
2016,Best of the Net Anthology,Fiction,Little Fiction,Online
2016,Best of the Net Anthology,Fiction,Quarterly West,Online
2016,Best of the Net Anthology,Fiction,Memorious,Online
2016,Best of the Net Anthology,Fiction,Barrelhouse,Online
2016,Best of the Net Anthology,Fiction,Adroit Journal,Online
2017,Best of the Net Anthology,Poetry,The Rumpus,Online
2017,Best of the Net Anthology,Poetry,Blue Mesa Review,Online
2017,Best of the Net Anthology,Poetry,Thrush Poetry Journal,Online
2017,Best of the Net Anthology,Poetry,Jet Fuel Review,Online
2017,Best of the Net Anthology,Poetry,Cleaver,Online
2017,Best of the Net Anthology,Poetry,Breadcrumbs,Online
2017,Best of the Net Anthology,Poetry,Waxwing,Online
2017,Best of the Net Anthology,Poetry,wildness,Online
2017,Best of the Net Anthology,Poetry,The Account,Online
2017,Best of the Net Anthology,Poetry,Madcap Review,Online
2017,Best of the Net Anthology,Poetry,Arkansas International,Online
2017,Best of the Net Anthology,Poetry,Queen Mob's Tea House,Online
2017,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2017,Best of the Net Anthology,Poetry,Sixth Finch,Online
2017,Best of the Net Anthology,Poetry,Nightjar Review,Online
2017,Best of the Net Anthology,Poetry,Whale Road Review,Online
2017,Best of the Net Anthology,Fiction,Little Fiction,Online
2017,Best of the Net Anthology,Fiction,Quarterly West,Online
2017,Best of the Net Anthology,Fiction,Memorious,Online
2017,Best of the Net Anthology,Fiction,Barrelhouse,Online
2017,Best of the Net Anthology,Fiction,The Adriot Journal,Online
2018,Best of the Net Anthology,Poetry,Baltimore Review,Online
2018,Best of the Net Anthology,Poetry,Contrary Magazine,Online
2018,Best of the Net Anthology,Poetry,Adroit Journal,Online
2018,Best of the Net Anthology,Poetry,Los Angeles Review,Online
2018,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2018,Best of the Net Anthology,Poetry,Shenandoah,Online
2018,Best of the Net Anthology,Poetry,The Offing,Online
2018,Best of the Net Anthology,Poetry,Staircase Quarterly,Online
2018,Best of the Net Anthology,Poetry,Portland Review,Online
2018,Best of the Net Anthology,Poetry,Split Rock Review ,Online
2018,Best of the Net Anthology,Poetry,Kenyon Review,Online
2018,Best of the Net Anthology,Poetry,Psaltery and Lyre,Online
2018,Best of the Net Anthology,Poetry,North American Review,Online
2018,Best of the Net Anthology,Fiction,Syntax & Salt Magazine,Online
2018,Best of the Net Anthology,Fiction,Split Lip Magazine,Online
2018,Best of the Net Anthology,Fiction,Cha,Online
2018,Best of the Net Anthology,Fiction,Pigeon Pages,Online
2018,Best of the Net Anthology,Fiction,SmokeLong Quarterly,Online
2018,Best of the Net Anthology,Fiction,Tishman Review,Online
